country,id,geo,year,employment_15_64,female_unemp,tech_employment,internet_usage,HRST,regional_GDP,higher_edu,pop_density
AT,AT11,Burgenland,2012,70.4 ,5.0,3.1 u,,34.9 ,7258.26 ,13.9,78.0 
AT,AT11,Burgenland,2013,69.9 ,,: u,71.27,37.4 ,7404.83 ,15.8,78.2 
AT,AT11,Burgenland,2014,69.8 ,4.9,2.3 u,76.09,43.5 b,7647.68 ,25.7,78.5 
AT,AT11,Burgenland,2015,69.6 ,5.9,2.6 u,,45.3 ,8061.08 ,28.5,79.0 
AT,AT11,Burgenland,2016,69.8 ,5.9,3.0 u,77.21,45.1 ,8320.75 ,27.9,79.4 b
AT,AT11,Burgenland,2017,71.1 ,5.8,3.2 u,82.54,47.2 ,8610.36 ,28.0,79.7 
AT,AT11,Burgenland,2018,71.8 ,4.5,3.8 u,82.7,46.4 ,8832.27 ,28.4,77.5 
AT,AT11,Burgenland,2019,71.9 ,,2.8 u,78.39,48.6 ,9066.41 ,30.7,77.8 
AT,AT11,Burgenland,2020,72.0 ,,2.5 u,83.06,51.4 ,8773.9 ,33.1,77.8 
AT,AT11,Burgenland,2021,71.8 b,6.0,2.8 bu,85.96,49.9 b,9439.31 ,31.4,78.1 
AT,AT11,Burgenland,2022,73.3 ,4.3,3.6 u,85.01,50.5 ,10316.95 ,31.4,79.2 
AT,AT11,Burgenland,2023,73.2 ,5.3,3.8 u,89.06,51.6 ,10992.74 ,33.2,
AT,AT12,Niederösterreich,2012,72.6 ,4.6,3.3 ,,37.9 ,49813.28 ,17.2,85.5 
AT,AT12,Niederösterreich,2013,72.4 ,5.1,3.4 ,74.36,39.2 ,50433.47 ,17.6,85.7 
AT,AT12,Niederösterreich,2014,72.8 ,5.0,4.2 ,74.19,46.1 b,52041.13 ,29.1,86.2 
AT,AT12,Niederösterreich,2015,73.1 ,4.9,4.3 ,,47.3 ,53778.42 ,30.3,87.0 
AT,AT12,Niederösterreich,2016,73.1 ,4.6,4.7 ,81.45,47.1 ,56034.19 ,30.2,87.7 b
AT,AT12,Niederösterreich,2017,74.3 ,4.2,4.9 ,83.93,49.2 ,58226.59 ,32.0,88.2 
AT,AT12,Niederösterreich,2018,74.4 ,3.3,3.9 ,83.58,49.5 ,60404.56 ,31.9,88.5 
AT,AT12,Niederösterreich,2019,74.4 ,4.0,3.2 ,87.77,49.1 ,63210.19 ,32.4,88.9 
AT,AT12,Niederösterreich,2020,74.1 ,4.0,2.9 ,85.72,51.0 ,59310.96 ,33.0,88.9 
AT,AT12,Niederösterreich,2021,73.9 b,4.9,4.1 b,92.0,52.0 b,63413.92 ,33.9,89.3 
AT,AT12,Niederösterreich,2022,74.7 ,4.1,4.2 ,89.48,51.2 ,69749.6 ,34.1,90.4 
AT,AT12,Niederösterreich,2023,75.3 ,4.4,4.9 ,92.35,53.7 ,73205.49 ,36.0,
AT,AT13,Wien,2012,65.9 ,7.8,5.8 ,,47.4 ,80734.11 ,27.5,4377.6 
AT,AT13,Wien,2013,66.0 ,8.6,6.9 ,80.2,50.5 ,81911.33 ,30.6,4440.5 
AT,AT13,Wien,2014,64.7 ,9.1,7.5 ,83.5,56.6 b,83467.6 ,39.1,4511.5 
AT,AT13,Wien,2015,64.6 ,8.8,6.3 ,,56.1 ,86162.34 ,39.3,4604.5 
AT,AT13,Wien,2016,64.9 ,9.6,6.5 ,86.77,55.9 ,90444.1 ,39.9,4693.4 b
AT,AT13,Wien,2017,65.3 ,8.9,6.8 ,88.1,56.9 ,91606.81 ,42.1,4754.9 
AT,AT13,Wien,2018,66.8 ,8.7,7.0 ,89.23,55.5 ,95891.94 ,42.3,4780.6 
AT,AT13,Wien,2019,67.1 ,8.3,6.6 ,88.27,56.6 ,98542.48 ,42.9,4808.9 
AT,AT13,Wien,2020,65.5 ,10.0,7.2 ,89.97,57.2 ,95759.07 ,42.7,4808.9 
AT,AT13,Wien,2021,66.2 b,11.4,7.9 b,91.82,57.9 b,103425.65 ,44.5,4838.6 
AT,AT13,Wien,2022,67.8 ,8.6,8.6 ,94.46,60.1 ,110702.62 ,45.6,4941.5 
AT,AT13,Wien,2023,67.4 ,8.8,8.2 ,93.69,60.5 ,118679.71 ,46.3,
AT,AT21,Kärnten,2012,69.0 ,5.1,3.8 ,,36.5 ,17862.94 ,17.2,59.4 
AT,AT21,Kärnten,2013,69.4 ,5.6,3.7 ,71.35,37.7 ,17915.47 ,17.3,59.4 
AT,AT21,Kärnten,2014,69.2 ,5.9,3.2 ,71.41,44.2 b,18654.09 ,28.8,59.5 
AT,AT21,Kärnten,2015,69.0 ,5.9,3.2 ,,43.9 ,18935.65 ,28.3,59.7 
AT,AT21,Kärnten,2016,69.9 ,6.0,3.9 ,77.48,45.5 ,19342.28 ,29.4,59.9 b
AT,AT21,Kärnten,2017,70.5 ,4.8,4.2 ,79.31,45.3 ,20107.36 ,29.7,59.9 
AT,AT21,Kärnten,2018,71.8 ,4.5,4.3 ,83.19,47.7 ,21056.21 ,30.6,59.9 
AT,AT21,Kärnten,2019,72.2 ,4.4,4.7 ,83.75,47.0 ,21722.58 ,30.8,59.9 
AT,AT21,Kärnten,2020,70.2 ,5.1,4.5 ,81.5,49.1 ,21178.66 ,32.1,59.9 
AT,AT21,Kärnten,2021,70.7 b,5.2,5.3 b,84.7,50.0 b,22576.35 ,33.6,60.0 
AT,AT21,Kärnten,2022,72.5 ,3.9,6.6 ,88.44,49.1 ,25123.21 ,33.3,60.5 
AT,AT21,Kärnten,2023,72.8 ,4.2,5.6 ,89.08,49.4 ,26638.91 ,33.8,
AT,AT22,Steiermark,2012,71.0 ,4.3,2.6 ,,36.8 ,41349.81 ,17.9,74.4 
AT,AT22,Steiermark,2013,71.1 ,4.8,3.0 ,74.66,36.2 ,41298.44 ,17.5,74.6 
AT,AT22,Steiermark,2014,70.7 ,4.9,3.2 ,71.32,41.5 b,42745.58 ,25.7,75.0 
AT,AT22,Steiermark,2015,70.8 ,4.8,3.8 ,,43.1 ,43716.71 ,26.7,75.5 
AT,AT22,Steiermark,2016,71.4 ,5.1,4.1 ,76.01,43.7 ,45702.77 ,27.4,76.0 b
AT,AT22,Steiermark,2017,72.2 ,4.1,3.9 ,84.12,44.4 ,47880.87 ,27.8,76.2 
AT,AT22,Steiermark,2018,73.2 ,4.5,3.8 ,83.33,45.3 ,49180.94 ,28.7,76.4 
AT,AT22,Steiermark,2019,74.7 ,3.5,3.5 ,83.64,46.0 ,51158.67 ,30.1,76.6 
AT,AT22,Steiermark,2020,73.3 ,4.5,3.8 ,81.88,46.9 ,48992.47 ,31.1,76.6 
AT,AT22,Steiermark,2021,72.9 b,4.5,3.6 b,84.76,46.7 b,52163.84 ,30.2,76.7 
AT,AT22,Steiermark,2022,74.7 ,3.2,4.8 ,89.57,49.0 ,57583.13 ,32.2,77.5 
AT,AT22,Steiermark,2023,75.2 ,3.9,4.7 ,90.56,49.4 ,61223.94 ,33.1,
AT,AT31,Oberösterreich,2012,74.9 ,3.3,2.6 ,,36.0 ,54152.01 ,17.2,120.9 
AT,AT31,Oberösterreich,2013,74.4 ,4.3,2.7 ,78.59,37.7 ,55510.36 ,17.2,121.4 
AT,AT31,Oberösterreich,2014,74.9 ,4.3,2.8 ,78.1,42.4 b,57092.71 ,26.7,122.2 
AT,AT31,Oberösterreich,2015,74.8 ,4.0,2.8 ,,42.8 ,59137.46 ,27.5,123.4 
AT,AT31,Oberösterreich,2016,75.5 ,4.3,3.3 ,83.3,44.6 ,61092.38 ,29.1,124.6 b
AT,AT31,Oberösterreich,2017,75.8 ,3.7,3.1 ,82.74,44.5 ,63441.65 ,29.2,125.4 
AT,AT31,Oberösterreich,2018,76.2 ,3.5,3.0 ,84.3,46.1 ,66564.81 ,29.0,126.1 
AT,AT31,Oberösterreich,2019,77.1 ,2.9,3.2 ,84.76,48.8 ,68767.6 ,31.8,126.8 
AT,AT31,Oberösterreich,2020,76.0 ,3.8,3.4 ,83.93,47.6 ,66531.34 ,31.1,126.8 
AT,AT31,Oberösterreich,2021,76.3 b,3.7,3.4 b,88.51,48.0 b,71148.91 ,30.5,127.4 
AT,AT31,Oberösterreich,2022,77.7 ,2.7,3.7 ,87.48,49.0 ,77403.32 ,32.4,129.2 
AT,AT31,Oberösterreich,2023,77.7 ,3.2,3.7 ,91.46,49.4 ,81776.31 ,33.1,
AT,AT32,Salzburg,2012,75.2 ,3.0,2.7 ,,39.2 ,23424.91 ,20.5,75.3 
AT,AT32,Salzburg,2013,75.4 ,2.8,2.8 ,77.26,39.9 ,23326.69 ,21.8,75.6 
AT,AT32,Salzburg,2014,73.7 ,3.3,2.5 ,80.63,45.0 b,23829.41 ,29.8,76.1 
AT,AT32,Salzburg,2015,74.1 ,3.4,2.9 ,,45.3 ,24928.54 ,30.2,76.9 
AT,AT32,Salzburg,2016,75.1 ,2.9,3.2 ,81.01,46.1 ,26099.3 ,31.5,77.7 b
AT,AT32,Salzburg,2017,75.6 ,2.8,2.9 ,87.55,46.8 ,26911.47 ,31.2,78.1 
AT,AT32,Salzburg,2018,77.0 ,2.8,2.7 ,85.82,46.3 ,27984.39 ,32.3,78.5 
AT,AT32,Salzburg,2019,77.2 ,2.2,2.8 ,86.48,46.8 ,29028.88 ,32.8,78.9 
AT,AT32,Salzburg,2020,76.1 ,3.0,2.8 ,86.45,48.3 ,28079.62 ,32.5,78.9 
AT,AT32,Salzburg,2021,75.5 b,4.7,2.8 b,90.22,49.0 b,29478.79 ,33.6,79.3 
AT,AT32,Salzburg,2022,77.7 ,3.3,2.9 ,91.38,48.3 ,33801.58 ,33.2,80.1 
AT,AT32,Salzburg,2023,78.1 ,3.2,3.8 ,94.22,51.3 ,36289.85 ,36.1,
